Part Code,Desc1,Desc2,HS Code,Cli Code,Vend Code,COE,TT,Cust Ctry,TaxRefNum,Annex,Part Group,AD Code,AD Rate,AD Rate Type,AD UOM Code,Part Type Code,Vend Price,Sls UOM Code,Exc Tax Ref Num,Part Category,Ext Fibre Coverage,Weight,Weight UOM,IP Comm Code,IP Cat Code,IP Agr Code,IP from US/MX,Blank,Rulling#,Cert Org Code,Cert Eff Date,Cert Exp Date,Def Proj Code,Stocking#,COO Code,OIC Rem Num,Part Class Code,Cert Type,Part ID,Spec Handling,Stocking%,Last Used Date,Qty/Pkg,TPL Possible,Part Note,Cert Sts,Duty Rate,Duty Type,OGD Code,OGD Sub Type,VFD Code,Vendor Part#,Client Part#,Airs Req Id,Airs Req Ver,Airs Code,End Use,Airs Misc Id,Prod Model,Prod Model Num,Prod Type Size,Prod Brand,Reason Imp Code,Compl Lbl Code,Compl Tire Code,Tiin Code,AD Rate2,AD Rate2 Type,AD Currency,HS Code Eff Date,HS Code Exp Date,Annex Code Eff Date,Annex Code Exp Date,Qty Conv UoM From,Qty Conv UoM To,Qty Conv UoM Factor,Qty Conv Description,Product Make,Assist Value,Assist Type (%/Amt),Assist Currency,Updated By,Updated Time
BAN01BW,The Banda Bath Sheet,The Banda Bath Sheet,630260,,,,,,,,,,,,,,15,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL01BW,The Bolla Bath Sheet,The Bolla Bath Sheet,630260,,,,,,,,,,,,,,15,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHK01CH,The Charcoal Checkmate,The Charcoal Checkmate,630291,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHK02TN,The Tan Checkmate,The Tan Checkmate,630291,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHK03OL,The Olive Checkmate,The Olive Checkmate,630291,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHK04AQ,The Aqua Checkmate,The Aqua Checkmate,630291,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMN01BG,The Tan Diamante,The Tan Diamante,630291,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMN02MR,The Maroon Diamante,The Maroon Diamante,630291,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMN03AQ,The Aqua Diamante,The Aqua Diamante,630291,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMN04BL,The Blue Diamante,The Blue Diamante,630291,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMN07BK,The Black Diamante,The Black Diamante,630291,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMR01WT,The White Del Mar,The White Del Mar,630291,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMR02CH,The Chocolate Del Mar,The Chocolate Del Mar,630291,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMP01OL,The Hamptons Blanket in Olive,The Hamptons Blanket in Olive,630231,,,,,,,,,,,,,,13.75,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMP02TN,The Hamptons Blanket in Tan,The Hamptons Blanket in Tan,630231,,,,,,,,,,,,,,13.75,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMP03BR,The Hamptons Blanket in Brown,The Hamptons Blanket in Brown,630231,,,,,,,,,,,,,,13.75,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMP04DM,The Hamptons Blanket in Denim,The Hamptons Blanket in Denim,630231,,,,,,,,,,,,,,13.75,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMP05BL,The Hamptons Blanket in Black,The Hamptons Blanket in Black,630231,,,,,,,,,,,,,,13.75,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAY01GR,The Grey Layers,The Grey Layers,630291,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAY02BL,The Blue Layers,The Blue Layers,630291,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAY03PN,The Pink Layers,The Pink Layers,630291,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAY04RN,The Yellow Layers,The Yellow Layers,630291,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBL01NV,The Labyrinth Blanket in Navy,The Labyrinth Blanket in Navy,630231,,,,,,,,,,,,,,24,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBL02SK,The Labyrinth Blanket in Sky,The Labyrinth Blanket in Sky,630231,,,,,,,,,,,,,,24,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBL03TN,The Labyrinth Blanket in Tan,The Labyrinth Blanket in Tan,630231,,,,,,,,,,,,,,24,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBL04BL,The Labyrinth Blanket in Black,The Labyrinth Blanket in Black,630231,,,,,,,,,,,,,,24,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBL05WT,The Labyrinth Blanket in White,The Labyrinth Blanket in White,630231,,,,,,,,,,,,,,24,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY01NV,The Navy Labyrinth,The Navy Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY02BG,The Tan Labyrinth,The Tan Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY03LL,The Lilac Labyrinth,The Lilac Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY04AQ,The Aqua Labyrinth,The Aqua Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY05SK,The Sky Labyrinth,The Sky Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY06LM,The Lime Labyrinth,The Lime Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY07TL,The Teal Labyrinth,The Teal Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY08MR,The Maroon Labyrinth,The Maroon Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY09FR,The Fire Labyrinth,The Fire Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY10BK,The Black Labyrinth,The Black Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY11WT,The White Labyrinth,The White Labyrinth,630291,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGN02NV,The Navy Laguna,The Navy Laguna,630291,,,,,,,,,,,,,,7,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHT01NTL,The Linen Herringbone Throw in Natural,The Linen Herringbone Throw in Natural,630492,,,,,,,,,,,,,,29.95,,,,,,,,,,,,,630492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHT02CML,The Linen Herringbone Throw in Camel,The Linen Herringbone Throw in Camel,630492,,,,,,,,,,,,,,29.95,,,,,,,,,,,,,630492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHT03CHR,The Linen Herringbone Throw in Charcoal,The Linen Herringbone Throw in Charcoal,630492,,,,,,,,,,,,,,29.95,,,,,,,,,,,,,630492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX-BS-CHO,The Luxe Bath Sheet in Chocolate,The Luxe Bath Sheet in Chocolate,630260,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX-BS-CHR,The Luxe Bath Sheet in Charcoal,The Luxe Bath Sheet in Charcoal,630260,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX-BS-JD,The Luxe Bath Sheet in Jade,The Luxe Bath Sheet in Jade,630260,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX-BS-SD,The Luxe Bath Sheet in Sand,The Luxe Bath Sheet in Sand,630260,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX-BS-ST,The Luxe Bath Sheet in Stone,The Luxe Bath Sheet in Stone,630260,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX-BS-WT,The Luxe Bath Sheet in White,The Luxe Bath Sheet in White,630260,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX-BT-CHO,The Luxe Bath Towel in Chocolate,The Luxe Bath Towel in Chocolate,630260,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX-BT-CHR,The Luxe Bath Towel in Charcoal,The Luxe Bath Towel in Charcoal,630260,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX-BT-JD,The Luxe Bath Towel in Jade,The Luxe Bath Towel in Jade,630260,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
